SN,DateTime,Transaction,Transaction Price,Closing Price,Average,Investment,Portfolio,Money end,Real Time Portfolio Vlaue
1,2021-05-11 19:14:00,Buy,-100,56349.17,0,100,0.0017746490320975448,1900.0,2000.0
2,2021-05-11 19:15:00,Sell,100.0,56410.25,56349.17,0.0,1.9215579239680904e-06,2000.0,2000.1083955628806
3,2021-05-11 19:16:00,Buy,-100,56467.92,0,100.0,0.0017728385670859844,1900.0,2000.108506379126
4,2021-05-11 19:17:00,Buy,-100,56442.67,56467.92,200.0,0.0035445478076304164,1800.0,2000.063742205307
5,2021-05-11 19:18:00,Sell,200.0,56553.69,56455.29217669308,0.0,8.085376973813833e-06,2000.0,2000.4572579029102
6,2021-05-11 19:19:00,Buy,-100,56551.4,0,100.0,0.0017763881952948457,1900.0,2000.4572393873968
7,2021-05-11 19:20:00,Buy,-100,56542.06,56551.4,200.0,0.0035449831138386696,1800.0,2000.440647921653
8,2021-05-11 19:21:00,Buy,-100,56510.01,56546.72961432076,300.0,0.005314581101876541,1700.0,2000.3270312128543
9,2021-05-11 19:22:00,Sell,300.0,56595.0,56534.48444180161,0.0,1.375947452430127e-05,2000.0,2000.7787174607029
10,2021-05-11 19:23:00,Buy,-100,56652.14,0,100.0,0.0017789178604211094,1900.0,2000.7795036770772
11,2021-05-11 19:24:00,Sell,100.0,56674.18,56652.14,0.0,1.4445926288140891e-05,2000.0,2000.8187110267208
12,2021-05-11 19:25:00,Buy,-100,56714.18,0,100.0,0.0017776733942688116,1900.0,2000.8192888637723
13,2021-05-11 19:26:00,Sell,100.0,56756.51,56714.18,0.0,1.5760972240043544e-05,2000.0,2000.8945377785517
14,2021-05-11 19:27:00,Buy,-100,56789.76,0,100.0,0.0017766418070947778,1900.0,2000.8950618308788
15,2021-05-11 19:28:00,Buy,-100,56772.05,56789.76,200.0,0.0035380719474543383,1800.0,2000.8635975044751
16,2021-05-11 19:29:00,Buy,-100,56748.35,56780.90361905997,300.0,0.005300237719675029,1700.0,2000.7797451993204
17,2021-05-11 19:30:00,Sell,300.0,56779.0,56770.04826364616,0.0,1.659411904803617e-05,2000.0,2000.9421974854286
18,2021-05-11 19:31:00,Buy,-100,56724.51,0,100.0,0.0017795004887989603,1900.0,2000.9412932718815
19,2021-05-11 19:32:00,Sell,100.0,56784.16,56724.51,0.0,1.8445997546470303e-05,2000.0,2001.0474404760384
20,2021-05-11 19:33:00,Buy,-100,56807.27,0,100.0,0.0017787840669520236,1900.0,2001.0478667630416
21,2021-05-11 19:34:00,Buy,-100,56703.0,56807.27,200.0,0.003542359186434238,1800.0,2000.8623929483806
22,2021-05-11 19:35:00,Buy,-100,56705.92,56755.08710903428,300.0,0.005305843492834699,1700.0,2000.872736637205
23,2021-05-11 19:36:00,Buy,-100,56622.42,56738.688601970964,400.0,0.0070719283758192125,1600.0,2000.4296987055532
24,2021-05-11 19:37:00,Buy,-100,56706.21,56709.57670953338,500.0,0.008835403663622787,1500.0,2001.022255584163
25,2021-05-11 19:38:00,Buy,-100,56649.43,56708.903335645446,600.0,0.010600646491308785,1400.0,2000.5205813641428
26,2021-05-11 19:39:00,Buy,-100,56664.86,56698.9824426092,700.0,0.012365408638431358,1300.0,2000.6841493395036
27,2021-05-11 19:40:00,Sell,700.0,56702.47,56694.10529210381,0.0,2.0267412661123183e-05,2000.0,2001.149212358395
28,2021-05-11 19:41:00,Buy,-100,56691.48,0,100.0,0.0017842008996683419,1900.0,2001.1489896195299
29,2021-05-11 19:42:00,Buy,-100,56669.67,56691.48,200.0,0.0035488132575663143,1800.0,2001.110076197908
30,2021-05-11 19:43:00,Buy,-100,56673.29,56680.572901943924,300.0,0.005313312901049161,1700.0,2001.1229229019004
31,2021-05-11 19:44:00,Buy,-100,56669.21,56678.14505999324,400.0,0.0070779395828045625,1600.0,2001.101244585264
