SN,DateTime,Transaction,Transaction Price,Closing Price,Average,Investment,Portfolio,Money end,Real Time Portfolio Vlaue
1,2021-05-11 18:09:00,Buy,-100,56344.88,0,100,0.0017747841507515856,1900.0,2000.0
2,2021-05-11 18:10:00,Sell,100.0,56377.74,56344.88,0.0,1.0344403162257723e-06,2000.0,2000.0583194071937
3,2021-05-11 18:11:00,Buy,-100,56388.04,0,100.0,0.0017744601525771946,1900.0,2000.058330061929
4,2021-05-11 18:12:00,Sell,100.0,56446.61,56388.04,0.0,2.874578173346588e-06,2000.0,2000.1622601930653
5,2021-05-11 18:13:00,Buy,-100,56446.66,0,100.0,0.001774458583320861,1900.0,2000.1622603367944
6,2021-05-11 18:14:00,Sell,100.0,56479.03,56446.66,0.0,3.889931557542886e-06,2000.0,2000.2196995611364
7,2021-05-11 18:15:00,Buy,-100,56425.0,0,100.0,0.0017761539989035774,1900.0,2000.2194893881344
8,2021-05-11 18:16:00,Sell,100.0,56441.73,56425.0,0.0,4.415251703589196e-06,2000.0,2000.249204444536
9,2021-05-11 18:17:00,Buy,-100,56407.07,0,100.0,0.0017772426650047941,1900.0,2000.249051411912
10,2021-05-11 18:18:00,Buy,-100,56406.33,56407.07,200.0,0.003550093336197194,1800.0,2000.2477362523398
11,2021-05-11 18:19:00,Sell,200.0,56423.87,56406.699997572985,0.0,5.494215293222037e-06,2000.0,2000.3100048894569
12,2021-05-11 18:20:00,Buy,-100,56399.96,0,100.0,0.0017785451181662028,1900.0,2000.309873522769
13,2021-05-11 18:21:00,Sell,100.0,56466.57,56399.96,0.0,7.585770006751993e-06,2000.0,2000.4283424130901
14,2021-05-11 18:22:00,Buy,-100,56453.01,0,100.0,0.0017789705021937514,1900.0,2000.4282395500488
15,2021-05-11 18:23:00,Buy,-100,56400.03,56453.01,200.0,0.0035520192044728102,1800.0,2000.3339896928426
16,2021-05-11 18:24:00,Sell,200.0,56433.88,56426.507564001826,0.0,8.048809383902431e-06,2000.0,2000.454225542914
17,2021-05-11 18:25:00,Buy,-100,56457.65,0,100.0,0.0017792879594370839,1900.0,2000.454416863113
18,2021-05-11 18:26:00,Buy,-100,56444.34,56457.65,200.0,0.0035509447810067934,1800.0,2000.430734540373
19,2021-05-11 18:27:00,Sell,200.0,56563.15,56450.994215442974,0.0,1.5073812010194323e-05,2000.0,2000.8526222898045
20,2021-05-11 18:28:00,Buy,-100,56666.47,0,100.0,0.0017797858189518654,1900.0,2000.8541797160613
21,2021-05-11 18:29:00,Sell,100.0,56679.91,56666.47,0.0,1.5492262381292237e-05,2000.0,2000.8781000374681
22,2021-05-11 18:30:00,Buy,-100,56604.31,0,100.0,0.0017821421870955058,1900.0,2000.876928822432
23,2021-05-11 18:31:00,Buy,-100,56603.89,56604.31,200.0,0.0035488052203252007,1800.0,2000.8761803227135
24,2021-05-11 18:32:00,Sell,200.0,56628.3,56604.0999992209,0.0,1.7002217233107273e-05,2000.0,2000.9628066581415
25,2021-05-11 18:33:00,Buy,-100,56616.77,0,100.0,0.0017832633444574263,1900.0,2000.962610622577
26,2021-05-11 18:34:00,Sell,100.0,56666.22,56616.77,0.0,1.8543551960238354e-05,2000.0,2001.0507929949604
27,2021-05-11 18:35:00,Buy,-100,56649.14,0,100.0,0.001783795416330995,1900.0,2001.0504762710927
28,2021-05-11 18:36:00,Buy,-100,56562.1,56649.14,200.0,0.003551763720195243,1800.0,2000.8952147180553
29,2021-05-11 18:37:00,Buy,-100,56569.42,56605.58654059438,300.0,0.005319503251553352,1700.0,2000.9212136284873
30,2021-05-11 18:38:00,Buy,-100,56480.89,56593.52588985484,400.0,0.007090013595848564,1600.0,2000.4502780056273
31,2021-05-11 18:39:00,Buy,-100,56419.99,56565.32482177576,500.0,0.008862435037256122,1500.0,2000.01849617764
32,2021-05-11 18:40:00,Buy,-100,56439.57,56536.19798833069,600.0,0.010634241590707893,1400.0,2000.1920226556695
33,2021-05-11 18:41:00,Buy,-100,56495.01,56520.070353355935,700.0,0.012404309425017508,1300.0,2000.7815850094585
34,2021-05-11 18:42:00,Buy,-100,56480.51,56516.488941770534,800.0,0.014174831681279004,1200.0,2000.6017225227956
35,2021-05-11 18:43:00,Buy,-100,56508.36,56511.98906746877,900.0,0.01594448134019673,1100.0,2000.9964915851192
36,2021-05-11 18:44:00,Buy,-100,56498.98,56511.5858147314,1000.0,0.017714424797583037,1000.0,2000.846932350148
37,2021-05-11 18:45:00,Buy,-100,56450.79,56510.32498013384,1100.0,0.019485879191755377,900.0,1999.9932742191525
38,2021-05-11 18:46:00,Buy,-100,56421.74,56504.90752064599,1200.0,0.021258245659007184,800.0,1999.427209428632
39,2021-05-11 18:47:00,Buy,-100,56387.77,56497.96753043263,1300.0,0.023031679862913455,700.0,1998.7050668235954
40,2021-05-11 18:48:00,Buy,-100,56413.44,56489.4755080062,1400.0,0.024804307095005668,600.0,1999.2962900456766
41,2021-05-11 18:49:00,Buy,-100,56387.95,56484.03760362759,1500.0,0.026577735637806035,500.0,1998.6640282578248
42,2021-05-11 18:50:00,Buy,-100,56305.47,56477.62157642573,1600.0,0.028353762016770638,400.0,1996.4718966224186
