SN,DateTime,Transaction,Transaction Price,Closing Price,Average,Investment,Portfolio,Money end,Real Time Portfolio Vlaue
1,2021-05-11 18:10:00,Buy,-100,56377.74,0,100,0.0017737497104353599,1900.0,2000.0
2,2021-05-11 18:11:00,Sell,100.0,56388.04,56377.74,0.0,3.239981743910058e-07,2000.0,2000.0182696220174
3,2021-05-11 18:12:00,Buy,-100,56446.61,0,100.0,0.001771909572578239,1900.0,2000.0182885985905
4,2021-05-11 18:13:00,Sell,100.0,56446.66,56446.61,0.0,3.255674307246076e-07,2000.0,2000.0183771940692
5,2021-05-11 18:14:00,Buy,-100,56479.03,0,100.0,0.0017708942191940428,1900.0,2000.018387732687
6,2021-05-11 18:15:00,Buy,-100,56425.0,56479.03,200.0,0.0035431582865400775,1800.0,1999.9227063180238
7,2021-05-11 18:16:00,Buy,-100,56441.73,56452.002072025236,300.0,0.005314897033740065,1700.0,1999.9819833561578
8,2021-05-11 18:17:00,Buy,-100,56407.07,56448.577632606844,400.0,0.00708772444704127,1600.0,1999.7977690249681
9,2021-05-11 18:18:00,Buy,-100,56406.33,56438.19499855497,500.0,0.00886057511823367,1500.0,1999.7925241088774
10,2021-05-11 18:19:00,Buy,-100,56423.87,56431.81911898727,600.0,0.010632874678685657,1400.0,1999.9479385964514
11,2021-05-11 18:20:00,Buy,-100,56399.96,56430.49411028618,700.0,0.012405925581558638,1300.0,1999.693706562884
12,2021-05-11 18:21:00,Sell,700.0,56466.57,56426.13007051787,0.0,9.210144442483095e-06,2000.0,2000.5200652658716
13,2021-05-11 18:22:00,Buy,-100,56453.01,0,100.0,0.0017805948766294825,1900.0,2000.519940376313
14,2021-05-11 18:23:00,Buy,-100,56400.03,56453.01,200.0,0.0035536435789085413,1800.0,2000.4256044597491
15,2021-05-11 18:24:00,Sell,200.0,56433.88,56426.507564001826,0.0,9.673183819633533e-06,2000.0,2000.5458952948952
16,2021-05-11 18:25:00,Buy,-100,56457.65,0,100.0,0.001780912333872815,1900.0,2000.5461252264745
17,2021-05-11 18:26:00,Buy,-100,56444.34,56457.65,200.0,0.0035525691554425245,1800.0,2000.5224212833107
18,2021-05-11 18:27:00,Sell,200.0,56563.15,56450.994215442974,0.0,1.6698186445925425e-05,2000.0,2000.9445020246687
19,2021-05-11 18:28:00,Buy,-100,56666.47,0,100.0,0.0017814101933875965,1900.0,2000.9462272812925
20,2021-05-11 18:29:00,Sell,100.0,56679.91,56666.47,0.0,1.711663681702334e-05,2000.0,2000.9701694342916
21,2021-05-11 18:30:00,Buy,-100,56604.31,0,100.0,0.0017837665615312369,1900.0,2000.9688754165481
22,2021-05-11 18:31:00,Buy,-100,56603.89,56604.31,200.0,0.003550429594760932,1800.0,2000.9681262345923
23,2021-05-11 18:32:00,Sell,200.0,56628.3,56604.0999992209,0.0,1.8626591668838375e-05,2000.0,2001.0547922210005
24,2021-05-11 18:33:00,Buy,-100,56616.77,0,100.0,0.0017848877188931574,1900.0,2001.0545774563986
25,2021-05-11 18:34:00,Sell,100.0,56666.22,56616.77,0.0,2.0167926395969456e-05,2000.0,2001.1428401540977
26,2021-05-11 18:35:00,Buy,-100,56649.14,0,100.0,0.001785419790766726,1900.0,2001.142495685915
27,2021-05-11 18:36:00,Buy,-100,56562.1,56649.14,200.0,0.0035533880946309743,1800.0,2000.9870927473266
28,2021-05-11 18:37:00,Buy,-100,56569.42,56605.58654059438,300.0,0.005321127625989083,1700.0,2001.0131035481793
29,2021-05-11 18:38:00,Buy,-100,56480.89,56593.52588985484,400.0,0.007091637970284295,1600.0,2000.5420241194506
30,2021-05-11 18:39:00,Buy,-100,56419.99,56565.32482177576,500.0,0.008864059411691853,1500.0,2000.1101433670601
31,2021-05-11 18:40:00,Buy,-100,56439.57,56536.19798833069,600.0,0.010635865965143624,1400.0,2000.2837016503413
32,2021-05-11 18:41:00,Buy,-100,56495.01,56520.070353355935,700.0,0.012405933799453239,1300.0,2000.8733540594487
33,2021-05-11 18:42:00,Buy,-100,56480.51,56516.488941770534,800.0,0.014176456055714735,1200.0,2000.6934680193567
34,2021-05-11 18:43:00,Buy,-100,56508.36,56511.98906746877,900.0,0.01594610571463246,1100.0,2001.0882823205084
35,2021-05-11 18:44:00,Buy,-100,56498.98,56511.5858147314,1000.0,0.01771604917201877,1000.0,2000.9387078489049
36,2021-05-11 18:45:00,Buy,-100,56450.79,56510.32498013384,1100.0,0.019487503566191108,900.0,2000.0849714393053
37,2021-05-11 18:46:00,Buy,-100,56421.74,56504.90752064599,1200.0,0.021259870033442915,800.0,1999.5188594607075
38,2021-05-11 18:47:00,Buy,-100,56387.77,56497.96753043263,1300.0,0.023033304237349186,700.0,1998.7966616756712
39,2021-05-11 18:48:00,Buy,-100,56413.44,56489.4755080062,1400.0,0.0248059314694414,600.0,1999.3879265954442
40,2021-05-11 18:49:00,Buy,-100,56387.95,56484.03760362759,1500.0,0.026579360012241766,500.0,1998.755623402288
41,2021-05-11 18:50:00,Buy,-100,56305.47,56477.62157642573,1600.0,0.02835538639120637,400.0,1996.5633577884785
