SN,DateTime,Transaction,Transaction Price,Closing Price,Average,Investment,Portfolio,Money end,Real Time Portfolio Vlaue
1,2021-05-11 19:16:00,Buy,-50,56467.92,0,50,0.0008854585045810082,1950.0,2000.0
2,2021-05-11 19:17:00,Buy,-50,56442.67,56467.92,100,0.0017713131248532242,1900.0,1999.9776421727593
3,2021-05-11 19:18:00,Sell,100.0,56553.69,56455.29217669308,0.0,3.0819095249228715e-06,2000.0,2000.1742933558805
4,2021-05-11 19:19:00,Buy,-50,56551.4,0,50.0,0.0008872333186854388,1950.0,2000.1742862983078
5,2021-05-11 19:20:00,Buy,-50,56542.06,56551.4,100.0,0.0017715307779573508,1900.0,2000.1659995391112
6,2021-05-11 19:21:00,Buy,-50,56510.01,56546.72961432076,150.0,0.0026563297719762865,1850.0,2000.1092219776776
7,2021-05-11 19:22:00,Sell,150.0,56595.0,56534.48444180161,0.0,5.9189583001668065e-06,2000.0,2000.334983444998
8,2021-05-11 19:23:00,Buy,-50,56652.14,0,50.0,0.0008884981512485709,1950.0,2000.3353216542753
9,2021-05-11 19:24:00,Sell,50.0,56674.18,56652.14,0.0,6.262184182086617e-06,2000.0,2000.3549041535287
10,2021-05-11 19:25:00,Buy,-50,56714.18,0,50.0,0.000887875918172422,1950.0,2000.355154640896
11,2021-05-11 19:26:00,Sell,50.0,56756.51,56714.18,0.0,6.919707158037944e-06,2000.0,2000.3927384285123
12,2021-05-11 19:27:00,Buy,-50,56789.76,0,50.0,0.000887360124585405,1950.0,2000.3929685087753
13,2021-05-11 19:28:00,Buy,-50,56772.05,56789.76,100.0,0.0017680751947651853,1900.0,2000.3772533609688
14,2021-05-11 19:29:00,Buy,-50,56748.35,56780.90361905997,150.0,0.0026491580808755306,1850.0,2000.335349978853
15,2021-05-11 19:30:00,Sell,150.0,56779.0,56770.04826364616,0.0,7.3362805620342565e-06,2000.0,2000.4165466740317
16,2021-05-11 19:31:00,Buy,-50,56724.51,0,50.0,0.0008887894654374963,1950.0,2000.416146920104
17,2021-05-11 19:32:00,Sell,50.0,56784.16,56724.51,0.0,8.262219811251323e-06,2000.0,2000.4691632117172
18,2021-05-11 19:33:00,Buy,-50,56807.27,0,50.0,0.000888431254514028,1950.0,2000.4693541516172
19,2021-05-11 19:34:00,Buy,-50,56703.0,56807.27,100.0,0.0017702188142551352,1900.0,2000.3767174247089
20,2021-05-11 19:35:00,Buy,-50,56705.92,56755.08710903428,150.0,0.0026519609674553655,1850.0,2000.3818864636467
21,2021-05-11 19:36:00,Buy,-50,56622.42,56738.688601970964,200.0,0.0035350034089476224,1800.0,2000.160447722864
22,2021-05-11 19:37:00,Buy,-50,56706.21,56709.57670953338,250.0,0.004416741052849411,1750.0,2000.4566456584998
23,2021-05-11 19:38:00,Buy,-50,56649.43,56708.903335645446,300.0,0.00529936246669241,1700.0,2000.205863101519
24,2021-05-11 19:39:00,Buy,-50,56664.86,56698.9824426092,350.0,0.006181743540253696,1650.0,2000.2876322643801
25,2021-05-11 19:40:00,Sell,350.0,56702.47,56694.10529210381,0.0,9.17292736857863e-06,2000.0,2000.520127638929
26,2021-05-11 19:41:00,Buy,-50,56691.48,0,50.0,0.000891139670872188,1950.0,2000.5200268284573
27,2021-05-11 19:42:00,Buy,-50,56669.67,56691.48,100.0,0.0017734458498211742,1900.0,2000.5005910722355
28,2021-05-11 19:43:00,Buy,-50,56673.29,56680.572901943924,150.0,0.0026556956715625976,1850.0,2000.507010946212
29,2021-05-11 19:44:00,Buy,-50,56669.21,56678.14505999324,200.0,0.0035380090124402983,1800.0,2000.4961757078718
30,2021-05-11 19:45:00,Buy,-50,56592.33,56675.91103085629,250.0,0.004421520965385159,1750.0,2000.2241735749956
31,2021-05-11 19:46:00,Buy,-50,56578.7,56659.17508002813,300.0,0.0053052457593447235,1700.0,2000.1639082442373
32,2021-05-11 19:47:00,Buy,-50,56578.76,56645.746672645335,350.0,0.0061889696161418675,1650.0,2000.1642265589828
33,2021-05-11 19:48:00,Buy,-50,56574.27,56636.16743829744,400.0,0.007072763609418316,1600.0,2000.1364380854063
34,2021-05-11 19:49:00,Buy,-50,56537.65,56628.42285248706,450.0,0.007957130044882119,1550.0,1999.8774334820296
35,2021-05-11 19:50:00,Buy,-50,56519.96,56618.32258863259,500.0,0.00884177327534442,1500.0,1999.7366718515354
36,2021-05-11 19:51:00,Buy,-50,56571.86,56608.47092607157,550.0,0.009725604918850573,1450.0,2000.1955598845261
37,2021-05-11 19:52:00,Buy,-50,56535.21,56605.140702076955,600.0,0.010610009522636426,1400.0,1999.83911646425
38,2021-05-11 19:53:00,Buy,-50,56516.79,56599.30653660265,650.0,0.011494702372318795,1350.0,1999.6436800888432
39,2021-05-11 19:54:00,Buy,-50,56529.68,56592.950557084005,700.0,0.012379193492735538,1300.0,1999.7918468024222
40,2021-05-11 19:55:00,Buy,-50,56567.99,56588.42653502366,750.0,0.013263085602036222,1250.0,2000.266093705129
41,2021-05-11 19:56:00,Sell,750.0,56602.76,56587.06363996827,0.0,1.2848334454217125e-05,2000.0,2000.7272511915119
42,2021-05-11 19:57:00,Buy,-50,56561.65,0,50.0,0.0008968395192941219,1950.0,2000.7267229964823
43,2021-05-11 19:58:00,Sell,50.0,56579.09,56561.65,0.0,1.31208168547577e-05,2000.0,2000.7423638776988
44,2021-05-11 19:59:00,Buy,-50,56608.94,0,50.0,0.0008963735327685338,1950.0,2000.7427555340819
45,2021-05-11 20:00:00,Sell,50.0,56625.31,56608.94,0.0,1.3376159332520866e-05,2000.0,2000.7574291688134
46,2021-05-11 20:01:00,Buy,-50,56614.92,0,50.0,0.0008965355809125567,1950.0,2000.757290190518
47,2021-05-11 20:02:00,Buy,-50,56610.4,56614.92,100.0,0.0017797655174613181,1900.0,2000.7532378496921
48,2021-05-11 20:03:00,Buy,-50,56580.01,56612.6599097799,150.0,0.002663469850493426,1850.0,2000.6991507756165
49,2021-05-11 20:04:00,Buy,-50,56538.67,56601.772420465146,200.0,0.003547820331323626,1800.0,2000.589042931997
50,2021-05-11 20:05:00,Buy,-50,56488.91,56585.983613749195,250.0,0.00443294981957185,1750.0,2000.4125033923106
51,2021-05-11 20:06:00,Sell,250.0,56614.54,56566.54220951755,0.0,1.7123072591303592e-05,2000.0,2000.9694148781432
52,2021-05-11 20:07:00,Buy,-50,56608.9,0,50.0,0.0009003764126138088,1950.0,2000.9693183040138
53,2021-05-11 20:08:00,Buy,-50,56525.84,56608.9,100.0,0.001784927619637004,1900.0,2000.894533039182
54,2021-05-11 20:09:00,Sell,100.0,56572.32,56567.33950996838,0.0,1.7278705821908644e-05,2000.0,2000.9774964749429
55,2021-05-11 20:10:00,Buy,-50,56641.78,0,50.0,0.0009000193259083536,1950.0,2000.9786966538493
56,2021-05-11 20:11:00,Sell,50.0,56672.37,56641.78,0.0,1.7755182023070602e-05,2000.0,2001.0062282450288
57,2021-05-11 20:12:00,Buy,-50,56664.13,0,50.0,0.000900147623237645,1950.0,2001.0060819423288
58,2021-05-11 20:13:00,Sell,50.0,56677.16,56664.13,0.0,1.7958042814067063e-05,2000.0,2001.0178108658597
59,2021-05-11 20:14:00,Buy,-50,56648.94,0,50.0,0.0009005870911245915,1950.0,2001.0173040898915
60,2021-05-11 20:15:00,Sell,50.0,56670.01,56648.94,0.0,1.8286205700360995e-05,2000.0,2001.0362794599016
61,2021-05-11 20:16:00,Buy,-50,56719.99,0,50.0,0.0008998096333314308,1950.0,2001.0371934044624
62,2021-05-11 20:17:00,Buy,-50,56680.0,56719.99,100.0,0.0017819550108896525,1900.0,2001.0012100172255
63,2021-05-11 20:18:00,Buy,-50,56650.0,56699.98794885255,150.0,0.0026645675439876224,1850.0,2000.9477513668987
64,2021-05-11 20:19:00,Sell,150.0,56718.77,56683.315500038145,0.0,1.994037735477761e-05,2000.0,2001.130993676899
65,2021-05-11 20:20:00,Buy,-50,56730.25,0,50.0,0.0009013043762795135,1950.0,2001.131222592431
66,2021-05-11 20:21:00,Sell,50.0,56750.02,56730.25,0.0,2.0247418061701398e-05,2000.0,2001.14904137995
67,2021-05-11 20:22:00,Buy,-50,56765.42,0,50.0,0.0009010653526422965,1950.0,2001.149353190188
68,2021-05-11 20:23:00,Buy,-50,56701.96,56765.42,100.0,0.001782869085705492,1900.0,2001.0921715829095
69,2021-05-11 20:24:00,Buy,-50,56641.5,56733.672254055746,150.0,0.0026656140695071216,1850.0,2000.9843793179875
70,2021-05-11 20:25:00,Buy,-50,56663.21,56702.91485607126,200.0,0.0035480208374964396,1800.0,2001.0422497994366
71,2021-05-11 20:26:00,Sell,200.0,56742.0,56692.98342636936,0.0,2.3294884939250877e-05,2000.0,2001.321798361223
72,2021-05-11 20:27:00,Buy,-50,56750.02,0,50.0,0.000904351843157063,1950.0,2001.3219851862002
73,2021-05-11 20:28:00,Sell,50.0,56755.24,56750.02,0.0,2.3375919171894372e-05,2000.0,2001.3267059028215
74,2021-05-11 20:29:00,Buy,-50,56726.95,0,50.0,0.0009047911900440284,1950.0,2001.3260445980682
75,2021-05-11 20:30:00,Sell,50.0,56770.9,56726.95,0.0,2.4058279345061167e-05,2000.0,2001.3658101708706
76,2021-05-11 20:31:00,Buy,-50,56765.01,0,50.0,0.0009048825758615243,1950.0,2001.3656684676052
77,2021-05-11 20:32:00,Buy,-50,56735.91,56765.01,100.0,0.0017861586495157584,1900.0,2001.3393363846476
78,2021-05-11 20:33:00,Buy,-50,56741.5,56750.456269589704,150.0,0.0026673479025316285,1850.0,2001.3493210114984
79,2021-05-11 20:34:00,Buy,-50,56704.67,56747.47053225683,200.0,0.003549109492890941,1800.0,2001.2510825882482
80,2021-05-11 20:35:00,Buy,-50,56722.86,56736.764343011695,250.0,0.004430588318182896,1750.0,2001.3156408899238
81,2021-05-11 20:36:00,Buy,-50,56723.45,56733.9829291018,300.0,0.005312057974912168,1700.0,2001.3182549370317
