SN,Transaction,Transaction Price,Closing Price,Average,Investment,Portfolio,Money end,Real Time Portfolio Vlaue
1,Buy,-100,55162,0,100,0.001812842,1900,2000
2,Buy,-100,55142.12,55162,200,0.003626338,1800,1999.963961
3,Sell,200,55178.22,55152.05821,0,1.72E-06,2000,2000.094871
4,Buy,-100,55207.21,0,100,0.001813077,1900,2000.094921
5,Buy,-100,55160.01,55207.21,200,0.003625985,1800,2000.009344
6,Buy,-100,55052.91,55183.59991,300,0.005442419,1700,1999.621001
7,Sell,300,55153.79,55139.96772,0,3.08E-06,2000,2000.170032
8,Buy,-100,55027.6,0,100,0.001820353,1900,2000.169643
9,Sell,100,55083.59,55027.6,0,4.93E-06,2000,2000.271565
10,Buy,-100,55034.95,0,100,0.001821957,1900,2000.271325
11,Buy,-100,54996.06,55034.95,200,0.003640269,1800,2000.200469
12,Buy,-100,54954.43,55015.49813,300,0.005459959,1700,2000.048925
13,Sell,300,55018.86,54995.12701,0,7.28E-06,2000,2000.40071
14,Buy,-100,55092.6,0,100,0.001822409,1900,2000.401247
15,Buy,-100,55031.71,55092.6,200,0.003639543,1800,2000.290281
16,Sell,200,55163.05,55062.13817,0,1.39E-05,2000,2000.768298
17,Buy,-100,55142.46,0,100,0.001827412,1900,2000.768011
18,Buy,-100,55034.32,55142.46,200,0.00364446,1800,2000.570395
19,Buy,-100,54991.91,55088.33693,300,0.00546291,1700,2000.415833
20,Sell,300,55127.21,55056.15707,0,2.10E-05,2000,2001.154965
21,Buy,-100,55269.64,0,100,0.001830262,1900,2001.157949
22,Sell,100,55309.13,55269.64,0,2.22E-05,2000,2001.230226
23,Buy,-100,55181.31,0,100,0.001834451,1900,2001.227383
24,Sell,100,55221.34,55181.31,0,2.36E-05,2000,2001.300816
25,Buy,-100,55255.97,0,100,0.001833316,1900,2001.301632
26,Sell,100,55318.12,55255.97,0,2.56E-05,2000,2001.415572
27,Buy,-100,55261.6,0,100,0.001835164,1900,2001.414126
28,Buy,-100,55224.67,55261.6,200,0.003645949,1800,2001.346354
29,Sell,200,55294.01,55243.12883,0,2.89E-05,2000,2001.599164
30,Buy,-100,55387.37,0,100,0.001834387,1900,2001.601864
31,Sell,100,55392.97,55387.37,0,2.91E-05,2000,2001.612136
32,Buy,-100,55344.86,0,100,0.001835956,1900,2001.610736
33,Sell,100,55413.82,55344.86,0,3.14E-05,2000,2001.737344
34,Buy,-100,55409.3,0,100,0.001836103,1900,2001.737202
35,Sell,100,55433.64,55409.3,0,3.21E-05,2000,2001.781893
36,Buy,-100,55496.36,0,100,0.001834065,1900,2001.783909
37,Buy,-100,55481.23,55496.36,200,0.003636476,1800,2001.756159
38,Buy,-100,55429.91,55488.79397,300,0.005440556,1700,2001.569535
39,Sell,300,55472.66,55469.15208,0,3.25E-05,2000,2001.802119
40,Buy,-100,55400.59,0,100,0.001837522,1900,2001.799778
41,Buy,-100,55384.33,55400.59,200,0.003643086,1800,2001.7699
42,Buy,-100,55333.5,55392.45881,300,0.00545031,1700,2001.584722
43,Buy,-100,55364.96,55372.79192,400,0.007256506,1600,2001.756189
44,Sell,400,55385.92,55370.83373,0,3.45E-05,2000,2001.908285
45,Buy,-100,55390.04,0,100,0.001839833,1900,2001.908427
46,Sell,100,55470.69,55390.04,0,3.71E-05,2000,2002.056809
