SN,Transaction,Transaction Price,Closing Price,Average,Investment,Portfolio,Money end,Real Time Portfolio Vlaue
1,Buy,-100,57766.62,0,100,0.0017311035334939104,4900.0,5000.0
2,Sell,100.0,57813.18,57766.62,0.0,1.3941488864559464e-06,5000.0,5000.0806001805195
6,Sell,300.0,57846.99,0,0.0,1.5947027326539132e-06,5000.0,5000.092248753029
7,Buy,-100,57902.54,0,100.0,0.0017286346564203505,4900.0,5000.092337338766
8,Sell,100.0,57924.61,57902.54,0.0,2.2527265290659716e-06,5000.0,5000.130488305633
9,Buy,-100,57880.01,0,100.0,0.0017299649366686288,4900.0,5000.1303878340295
10,Buy,-100,57789.63,57880.01,200.0,0.003460379199573583,4800.0,4999.974033603054
11,Buy,-100,57814.43,57834.78469019701,300.0,0.005190051186307691,4700.0,5000.059851007203
12,Buy,-100,57814.33,57827.99820114864,400.0,0.0069197261648121546,4600.0,5000.059332002084
13,Buy,-100,57765.39,57824.580545014665,500.0,0.008650866558740075,4500.0,4999.720680603578
14,Buy,-100,57703.71,57812.732733862336,600.0,0.01038385738376675,4400.0,4999.187095154235
15,Buy,-100,57682.87,57794.53367853893,700.0,0.012117474313714932,4300.0,4998.970695566358
16,Buy,-100,57656.07,57778.55526310656,800.0,0.01385189707267162,4200.0,4998.64594725475
17,Buy,-100,57678.62,57763.216152393004,900.0,0.015585641742707068,4100.0,4998.958307533739
18,Buy,-100,57615.45,57753.80432752201,1000.0,0.017321287303055898,4000.0,4997.9737625448515
19,Buy,-100,57679.85,57739.93900071886,1100.0,0.01905499500167162,3900.0,4999.089253447169
20,Sell,1100.0,57749.55,57734.471191327226,0.0,7.227529890456441e-06,5000.0,5000.417386598785
21,Buy,-100,57711.82,0,100.0,0.0017399748249852915,4900.0,5000.417113904083
22,Buy,-100,57594.85,57711.82,200.0,0.003476241175188478,4800.0,5000.213589048804
23,Buy,-100,57589.75,57653.27567133801,300.0,0.005212661284669766,4700.0,5000.195860218811
24,Buy,-100,57600.0,57632.0848814104,400.0,0.006948772395780877,4600.0,5000.249289996978
25,Buy,-100,57481.32,57624.06031048398,500.0,0.008688468004719571,4500.0,4999.424609689047
26,Sell,500.0,57644.05,57595.45556303026,0.0,1.4545891335796327e-05,5000.0,5000.838484087455
27,Buy,-100,57731.88,0,100.0,0.0017466911116196327,4900.0,5000.839761653091
